,0,1,2,3,4,5,6,7,8,9
183,"""fighter""","""name""","""rocky""","""drago""","""change""","""former""","""creed""","""fight""","""bout""","""rival"""
184,"""set""","""take""","""mission""","""leave""","""family""","""prison""","""day""","""name""","""career""","""glory"""
185,"""woman""","""love""","""bertrand""","""s""","""law""","""koistenin""","""old""","""year""","""take""","""run"""
186,"""zone""","""violence""","""room""","""people""","""hope""","""stalker""","""gun""","""film""","""place""","""old"""
187,"""town""","""part""","""foundle""","""irish""","""age""","""come""","""mother""","""leave""","""look""","""understand"""
188,"""film""","""song""","""word""","""hour""","""think""","""gallimard""","""opera""","""love""","""fall""","""liling"""
189,"""involve""","""school""","""become""","""agent""","""international""","""general""","""psychotic""","""espionage""","""corrupt""","""casare"""
190,"""try""","""friend""","""strength""","""friendship""","""time""","""woman""","""form""","""become""","""personality""","""wound"""
191,"""try""","""eccentric""","""friendship""","""collector""","""playing""","""figure""","""good""","""year""","""high""","""quirky"""
192,"""s""","""school""","""hard""","""way""","""come""","""ring""","""family""","""try""","""begin""","""lose"""
193,"""take""","""people""","""routine""","""town""","""potter""","""george""","""billy""","""entire""","""prevent""","""money"""
194,"""desperation""","""put""","""feeling""","""ever""","""reservoir""","""portrait""","""human""","""film""","""great""","""plumb"""
195,"""much""","""life""","""show""","""friend""","""poor""","""tourist""","""rape""","""story""","""female""","""order"""
196,"""life""","""beethoven""","""become""","""film""","""year""","""work""","""composer""","""make""","""day""","""young"""
197,"""man""","""awkward""","""begin""","""journey""","""together""","""eventually""","""cell""","""meet""","""story""","""different"""
198,"""family""","""man""","""friend""","""name""","""mcclane""","""sheep""","""skeleton""","""relative""","""story""","""teenager"""
199,"""ally""","""day""","""international""","""use""","""place""","""rather""","""good""","""die""","""cause""","""join"""
200,"""use""","""secret""","""world""","""french""","""experience""","""doctor""","""mission""","""change""","""community""","""group"""
201,"""baby""","""mother""","""see""","""several""","""pair""","""rather""","""pay""","""kidnap""","""girl""","""surrogate"""
202,"""boomer""","""soviet""","""commander""","""ensue""","""head""","""silent""","""nuclear""","""sub""","""intend""","""family"""
203,"""school""","""go""","""man""","""lincoln""","""facility""","""take""","""order""","""inhabitant""","""instead""","""medical"""
204,"""life""","""rock""","""friend""","""involve""","""aid""","""everyday""","""musician""","""hour""","""seek""","""notorious"""
205,"""film""","""wish""","""unusual""","""expect""","""follow""","""wild""","""boy""","""century""","""speak""","""play"""
206,"""love""","""year""","""armand""","""challenge""","""future""","""evil""","""fall""","""evolve""","""friendship""","""friend"""
207,"""woman""","""parisian""","""american""","""sentence""","""young""","""begin""","""death""","""sordid""","""sex""","""lay"""
208,"""live""","""boy""","""find""","""bill""","""friend""","""double""","""veronique""","""robot""","""woman""","""help"""
209,"""report""","""make""","""school""","""pass""","""park""","""together""","""small""","""town""","""stay""","""help"""
210,"""lead""","""fall""","""find""","""afghan""","""engineer""","""actresss""","""hold""","""unfinished""","""armor""","""weaponize"""
211,"""film""","""bank""","""man""","""trustee""","""mother""","""young""","""repress""","""depression""","""live""","""depict"""
212,"""machine""","""world""","""project""","""kill""","""cale""","""ultimate""","""part""","""book""","""literature""","""maintain"""
213,"""emperor""","""call""","""old""","""s""","""help""","""world""","""travel""","""dead""","""oconnell""","""quest"""
214,"""gang""","""face""","""film""","""canadian""","""irish""","""big""","""go""","""job""","""force""","""documentary"""
215,"""new""","""find""","""friend""","""class""","""sophie""","""lelievre""","""roommate""","""student""","""secret""","""old"""
216,"""bar""","""charlie""","""brother""","""deal""","""virtuose""","""lena""","""refuge""","""young""","""wih""","""discover"""
217,"""let""","""rest""","""writer""","""blackmailer""","""body""","""man""","""tv""","""suburban""","""nervous""","""lachenay"""
218,"""school""","""work""","""relationship""","""bad""","""married""","""worried""","""black""","""taboo""","""rightly""","""routine"""
219,"""grandmother""","""death""","""family""","""gang""","""brother""","""charlie""","""rival""","""bar""","""name""","""fido"""
220,"""team""","""rescue""","""building""","""authority""","""department""","""wreckage""","""center""","""collapse""","""attack""","""trade"""
221,"""ellen""","""patient""","""see""","""second""","""fantma""","""doctor""","""paraplegic""","""begin""","""bud""","""ward"""
222,"""man""","""find""","""love""","""year""","""face""","""follow""","""assume""","""return""","""marry""","""adle"""
223,"""decepticon""","""knock""","""football""","""see""","""injure""","""young""","""become""","""wife""","""s""","""struggle"""
224,"""queen""","""ether""","""samoan""","""haze""","""purple""","""hallucinogenic""","""misadventure""","""day""","""sin""","""sportswriter"""
225,"""black""","""daughter""","""challenge""","""nationalist""","""couple""","""controversial""","""home""","""influential""","""biopic""","""leader"""
226,"""dupree""","""many""","""man""","""use""","""frustrated""","""carl""","""become""","""leave""","""friend""","""molly"""
227,"""drug""","""straight""","""man""","""war""","""year""","""love""","""drama""","""ensue""","""fall""","""later"""
228,"""year""","""life""","""find""","""modern""","""story""","""day""","""group""","""make""","""attempt""","""leave"""
229,"""marion""","""find""","""play""","""cause""","""woman""","""year""","""life""","""wife""","""school""","""end"""
230,"""man""","""story""","""deform""","""heavily""","""call""","""century""","""rescue""","""disfigure""","""mistreat""","""monstrous"""
231,"""man""","""zaroff""","""shipwreck""","""find""","""friend""","""s""","""old""","""year""","""face""","""try"""
232,"""manderlay""","""see""","""grace""","""farm""","""film""","""parent""","""try""","""harvest""","""owner""","""influence"""
233,"""life""","""boat""","""man""","""hitman""","""manager""","""try""","""get""","""girl""","""fishing""","""come"""
234,"""lead""","""world""","""go""","""empire""","""destruction""","""come""","""man""","""love""","""giant""","""farth"""
235,"""live""","""story""","""killer""","""man""","""trail""","""build""","""obsession""","""police""","""terrify""","""become"""
236,"""singer""","""interview""","""murder""","""mob""","""nun""","""cop""","""limit""","""rescue""","""begin""","""take"""
237,"""take""","""game""","""assassin""","""captivity""","""reunite""","""play""","""determine""","""home""","""cub""","""damage"""
238,"""town""","""agent""","""friend""","""garrulous""","""annoy""","""insurance""","""rental""","""hyperactive""","""car""","""executive"""
239,"""woman""","""child""","""truth""","""grace""","""old""","""clue""","""make""","""mind""","""other""","""eventually"""
240,"""find""","""business""","""soon""","""store""","""include""","""s""","""martial""","""arrive""","""enough""","""new"""
241,"""love""","""robot""","""crew""","""friend""","""meet""","""italian""","""phobic""","""loretta""","""responsible""","""humanity"""
242,"""hit""","""take""","""enlighten""","""strand""","""forest""","""retirement""","""small""","""home""","""day""","""embark"""
243,"""abortion""","""life""","""set""","""miss""","""local""","""pair""","""soon""","""form""","""go""","""man"""
244,"""affair""","""young""","""block""","""suffer""","""agent""","""child""","""odone""","""strange""","""begin""","""normal"""
245,"""s""","""find""","""year""","""get""","""help""","""accident""","""old""","""place""","""name""","""family"""
246,"""life""","""son""","""thing""","""return""","""old""","""nation""","""farmer""","""reluctantly""","""defend""","""field"""
247,"""drug""","""race""","""prize""","""travel""","""express""","""pony""","""pair""","""story""","""debt""","""leave"""
248,"""woman""","""lead""","""find""","""chest""","""vision""","""man""","""life""","""start""","""meet""","""arrest"""
249,"""flare""","""artificial""","""intelligence""","""eye""","""body""","""fail""","""point""","""right""","""solar""","""time"""
250,"""clot""","""life""","""war""","""destroy""","""put""","""science""","""blood""","""adventurer""","""scientist""","""secret"""
251,"""film""","""influence""","""star""","""low""","""evil""","""dead""","""campbell""","""young""","""budget""","""s"""
252,"""town""","""take""","""life""","""man""","""make""","""family""","""young""","""robot""","""magical""","""land"""
253,"""dog""","""force""","""long""","""dangerous""","""hard""","""time""","""carraclough""","""however""","""lassie""","""set"""
254,"""s""","""boat""","""louise""","""also""","""storm""","""schuckert""","""weather""","""fishing""","""find""","""people"""
255,"""alice""","""become""","""year""","""try""","""winter""","""book""","""return""","""decide""","""german""","""connie"""
256,"""old""","""world""","""strange""","""include""","""find""","""grow""","""boy""","""call""","""big""","""start"""
257,"""man""","""love""","""story""","""device""","""base""","""dad""","""hitman""","""trouble""","""well""","""win"""
258,"""dance""","""neighborhood""","""film""","""russian""","""crew""","""die""","""movement""","""clowe""","""come""","""rule"""
259,"""help""","""driver""","""find""","""investigate""","""assign""","""police""","""prevent""","""catch""","""detective""","""robbery"""
260,"""bullet""","""cover""","""tell""","""s""","""visit""","""way""","""grandmother""","""return""","""korean""","""kill"""
261,"""french""","""however""","""spy""","""make""","""edit""","""city""","""consider""","""unadaptable""","""consciousness""","""get"""
262,"""helne""","""accident""","""horrible""","""lanson""","""make""","""murder""","""actress""","""kill""","""resolve""","""time"""
263,"""find""","""massoulier""","""child""","""mother""","""life""","""money""","""aviation""","""new""","""bourne""","""reporter"""
264,"""film""","""french""","""love""","""beautiful""","""woman""","""man""","""center""","""occupation""","""good""","""german"""
