,award_company,award_type,movie,person,year
402,golden_globe,best_actor,Amadeus,F. Murray Abraham,1984
403,golden_globe,best_actor,Runaway Train,Jon Voight,1985
404,golden_globe,best_actor,Mona Lisa,Bob Hoskins,1986
405,golden_globe,best_actor,Wall Street,Michael Douglas,1987
406,golden_globe,best_actor,Rain Man,Dustin Hoffman,1988
407,golden_globe,best_actor,Born on the Fourth of July,Tom Cruise,1989
408,golden_globe,best_actor,Reversal of Fortune,Jeremy Irons,1990
409,golden_globe,best_actor,The Prince of Tides,Nick Nolte,1991
410,golden_globe,best_actor,Scent of a Woman,Al Pacino,1992
411,golden_globe,best_actor,Philadelphia,Tom Hanks,1993
412,golden_globe,best_actor,Forrest Gump,Tom Hanks,1994
413,golden_globe,best_actor,Leaving Las Vegas,Nicolas Cage,1995
414,golden_globe,best_actor,Shine,Geoffrey Rush,1996
415,golden_globe,best_actor,Ulee's Gold,Peter Fonda,1997
416,golden_globe,best_actor,The Truman Show,Jim Carrey,1998
417,golden_globe,best_actor,The Hurricane,Denzel Washington,1999
418,golden_globe,best_actor,Cast Away,Tom Hanks,2000
419,golden_globe,best_actor,A Beautiful Mind,Russell Crowe,2001
420,golden_globe,best_actor,About Schmidt,Jack Nicholson,2002
421,golden_globe,best_actor,Mystic River,Sean Penn,2003
422,golden_globe,best_actor,The Aviator,Leonardo DiCaprio,2004
423,golden_globe,best_actor,Capote,Philip Seymour Hoffman,2005
424,golden_globe,best_actor,The Last King of Scotland,Forest Whitaker,2006
425,golden_globe,best_actor,There Will Be Blood,Daniel Day-Lewis,2007
426,golden_globe,best_actor,The Wrestler,Mickey Rourke,2008
427,golden_globe,best_actor,Crazy Heart,Jeff Bridges,2009
428,golden_globe,best_actor,The King's Speech,Colin Firth,2010
429,golden_globe,best_actor,The Descendants,George Clooney,2011
430,golden_globe,best_actor,Lincoln,Daniel Day-Lewis,2012
431,golden_globe,best_actor,Dallas Buyers Club,Matthew McConaughey,2013
432,golden_globe,best_actor,The Theory of Everything,Eddie Redmayne,2014
433,golden_globe,best_actor,The Revenant,Leonardo DiCaprio,2015
434,golden_globe,best_actor,Manchester by the Sea,Casey Affleck,2016
435,golden_globe,best_actor,Darkest Hour,Gary Oldman,2017
436,golden_globe,best_actor,Bohemian Rhapsody,Rami Malek,2018
437,golden_globe,best_actor,Joker,Joaquin Phoenix,2019
438,golden_globe,best_actor,Ma Rainey's Black Bottom,Chadwick Boseman,2020
439,golden_globe,best_actor,King Richard,Will Smith,2021
440,golden_globe,best_actress,The Song of Bernadette,Jennifer Jones,1943
441,golden_globe,best_actress,Gaslight,Ingrid Bergman,1944
442,golden_globe,best_actress,The Bells of St. Mary's,Ingrid Bergman,1945
443,golden_globe,best_actress,Sister Kenny,Rosalind Russell,1946
444,golden_globe,best_actress,Mourning Becomes Electra,Rosalind Russell,1947
445,golden_globe,best_actress,Johnny Belinda,Jane Wyman,1948
446,golden_globe,best_actress,The Heiress,Olivia de Havilland,1949
447,golden_globe,best_actress,Sunset Boulevard,Gloria Swanson,1950
448,golden_globe,best_actress,The Blue Veil,Jane Wyman,1951
449,golden_globe,best_actress,"Come Back, Little Sheba",Shirley Booth,1952
450,golden_globe,best_actress,Roman Holiday,Audrey Hepburn,1953
451,golden_globe,best_actress,The Country Girl,Grace Kelly,1954
452,golden_globe,best_actress,The Rose Tattoo,Anna Magnani,1955
453,golden_globe,best_actress,Anastasia,Ingrid Bergman,1956
454,golden_globe,best_actress,The Three Faces of Eve,Joanne Woodward,1957
455,golden_globe,best_actress,I Want to Live!,Susan Hayward,1958
456,golden_globe,best_actress,"Suddenly, Last Summer",Elizabeth Taylor,1959
