,award_company,award_type,movie,person,year
1556,oscars,best_picture,"Good Night, and Good Luck",,2005
1557,oscars,best_picture,Munich,,2005
1558,oscars,best_picture,The Departed,,2006
1559,oscars,best_picture,Babel,,2006
1560,oscars,best_picture,Letters from Iwo Jima,,2006
1561,oscars,best_picture,Little Miss Sunshine,,2006
1562,oscars,best_picture,The Queen,,2006
1563,oscars,best_picture,No Country for Old Men,,2007
1564,oscars,best_picture,Atonement,,2007
1565,oscars,best_picture,Juno,,2007
1566,oscars,best_picture,Michael Clayton,,2007
1567,oscars,best_picture,There Will Be Blood,,2007
1568,oscars,best_picture,Slumdog Millionaire,,2008
1569,oscars,best_picture,The Curious Case of Benjamin Button,,2008
1570,oscars,best_picture,Frost/Nixon,,2008
1571,oscars,best_picture,Milk,,2008
1572,oscars,best_picture,The Reader,,2008
1573,oscars,best_picture,The Hurt Locker,,2009
1574,oscars,best_picture,Avatar,,2009
1575,oscars,best_picture,The Blind Side,,2009
1576,oscars,best_picture,District 9,,2009
1577,oscars,best_picture,An Education,,2009
1578,oscars,best_picture,Inglourious Basterds,,2009
1579,oscars,best_picture,Precious: Based on the Novel 'Push' by Sapphire,,2009
1580,oscars,best_picture,A Serious Man,,2009
1581,oscars,best_picture,Up,,2009
1582,oscars,best_picture,Up in the Air,,2009
1583,oscars,best_picture,The King's Speech,,2010
1584,oscars,best_picture,127 Hours,,2010
1585,oscars,best_picture,Black Swan,,2010
1586,oscars,best_picture,The Fighter,,2010
1587,oscars,best_picture,Inception,,2010
1588,oscars,best_picture,The Kids Are All Right,,2010
1589,oscars,best_picture,The Social Network,,2010
1590,oscars,best_picture,Toy Story 3,,2010
1591,oscars,best_picture,True Grit,,2010
1592,oscars,best_picture,Winter's Bone,,2010
1593,oscars,best_picture,The Artist,,2011
1594,oscars,best_picture,The Descendants,,2011
1595,oscars,best_picture,Extremely Loud & Incredibly Close,,2011
1596,oscars,best_picture,The Help,,2011
1597,oscars,best_picture,Hugo,,2011
1598,oscars,best_picture,Midnight in Paris,,2011
1599,oscars,best_picture,Moneyball,,2011
1600,oscars,best_picture,The Tree of Life,,2011
1601,oscars,best_picture,War Horse,,2011
1602,oscars,best_picture,Argo,,2012
1603,oscars,best_picture,Amour,,2012
1604,oscars,best_picture,Beasts of the Southern Wild,,2012
1605,oscars,best_picture,Django Unchained,,2012
1606,oscars,best_picture,Life of Pi,,2012
1607,oscars,best_picture,Lincoln,,2012
1608,oscars,best_picture,Les Misérables,,2012
1609,oscars,best_picture,Silver Linings Playbook,,2012
1610,oscars,best_picture,Zero Dark Thirty,,2012
1611,oscars,best_picture,12 Years a Slave,,2013
1612,oscars,best_picture,American Hustle,,2013
1613,oscars,best_picture,Captain Phillips,,2013
1614,oscars,best_picture,Dallas Buyers Club,,2013
1615,oscars,best_picture,Gravity,,2013
1616,oscars,best_picture,Her,,2013
1617,oscars,best_picture,Nebraska,,2013
1618,oscars,best_picture,Philomena,,2013
1619,oscars,best_picture,The Wolf of Wall Street,,2013
1620,oscars,best_picture,Birdman or (The Unexpected Virtue of Ignorance),,2014
1621,oscars,best_picture,American Sniper,,2014
1622,oscars,best_picture,Boyhood,,2014
1623,oscars,best_picture,The Grand Budapest Hotel,,2014
1624,oscars,best_picture,The Imitation Game,,2014
1625,oscars,best_picture,Selma,,2014
1626,oscars,best_picture,The Theory of Everything,,2014
1627,oscars,best_picture,Whiplash,,2014
1628,oscars,best_picture,Spotlight,,2015
1629,oscars,best_picture,The Big Short,,2015
1630,oscars,best_picture,Bridge of Spies,,2015
1631,oscars,best_picture,Brooklyn,,2015
1632,oscars,best_picture,Mad Max: Fury Road,,2015
1633,oscars,best_picture,The Martian,,2015
1634,oscars,best_picture,The Revenant,,2015
1635,oscars,best_picture,Room,,2015
1636,oscars,best_picture,Moonlight,,2016
1637,oscars,best_picture,Arrival,,2016
1638,oscars,best_picture,Fences,,2016
1639,oscars,best_picture,Hacksaw Ridge,,2016
1640,oscars,best_picture,Hell or High Water,,2016
1641,oscars,best_picture,Hidden Figures,,2016
1642,oscars,best_picture,La La Land,,2016
1643,oscars,best_picture,Lion,,2016
1644,oscars,best_picture,Manchester by the Sea,,2016
1645,oscars,best_picture,The Shape of Water,,2017
1646,oscars,best_picture,Call Me by Your Name,,2017
1647,oscars,best_picture,Darkest Hour,,2017
1648,oscars,best_picture,Dunkirk,,2017
1649,oscars,best_picture,Get Out,,2017
1650,oscars,best_picture,Lady Bird,,2017
1651,oscars,best_picture,Phantom Thread,,2017
1652,oscars,best_picture,The Post,,2017
1653,oscars,best_picture,"Three Billboards Outside Ebbing, Missouri",,2017
1654,oscars,best_picture,Green Book,,2018
1655,oscars,best_picture,Black Panther,,2018
1656,oscars,best_picture,BlacKkKlansman,,2018
1657,oscars,best_picture,Bohemian Rhapsody,,2018
1658,oscars,best_picture,The Favourite,,2018
1659,oscars,best_picture,Roma,,2018
1660,oscars,best_picture,A Star Is Born,,2018
1661,oscars,best_picture,Vice,,2018
1662,oscars,best_picture,Parasite,,2019
1663,oscars,best_picture,Ford v Ferrari,,2019
1664,oscars,best_picture,The Irishman,,2019
1665,oscars,best_picture,Jojo Rabbit,,2019
1666,oscars,best_picture,Joker,,2019
1667,oscars,best_picture,Little Women,,2019
1668,oscars,best_picture,Marriage Story,,2019
1669,oscars,best_picture,1917,,2019
1670,oscars,best_picture,Once Upon a Time in Hollywood,,2019
1671,oscars,best_picture,Nomadland,,2020
1672,oscars,best_picture,The Father,,2020
1673,oscars,best_picture,Judas and the Black Messiah,,2020
1674,oscars,best_picture,Mank,,2020
1675,oscars,best_picture,Minari,,2020
1676,oscars,best_picture,Promising Young Woman,,2020
1677,oscars,best_picture,Sound of Metal,,2020
1678,oscars,best_picture,The Trial of the Chicago 7,,2020
1679,oscars,best_picture,CODA,,2021
1680,oscars,best_picture,Belfast,,2021
1681,oscars,best_picture,Don't Look Up,,2021
1682,oscars,best_picture,Drive My Car,,2021
1683,oscars,best_picture,Dune,,2021
1684,oscars,best_picture,King Richard,,2021
1685,oscars,best_picture,Licorice Pizza,,2021
1686,oscars,best_picture,Nightmare Alley,,2021
1687,oscars,best_picture,The Power of the Dog,,2021
1688,oscars,best_picture,West Side Story,,2021
1689,golden_globe,best_director,All About Eve,Joseph L. Mankiewicz,1950
1690,golden_globe,best_director,The Asphalt Jungle,John Huston,1950
1691,golden_globe,best_director,Born Yesterday,George Cukor,1950
1692,golden_globe,best_director,An American in Paris,Vincente Minnelli,1951
1693,golden_globe,best_director,A Place in the Sun,George Stevens,1951
1694,golden_globe,best_director,The Happy Time,Richard Fleischer,1952
1695,golden_globe,best_director,The Quiet Man,John Ford,1952
1696,golden_globe,best_director,Around the World in 80 Days,Michael Anderson,1956
1697,golden_globe,best_director,Giant,George Stevens,1956
1698,golden_globe,best_director,Lust for Life,Vincente Minnelli,1956
1699,golden_globe,best_director,War and Peace,King Vidor,1956
1700,golden_globe,best_director,12 Angry Men,Sidney Lumet,1957
1701,golden_globe,best_director,A Hatful of Rain,Fred Zinnemann,1957
1702,golden_globe,best_director,Sayonara,Joshua Logan,1957
1703,golden_globe,best_director,Witness for the Prosecution,Billy Wilder,1957
1704,golden_globe,best_director,Cat on a Hot Tin Roof,Richard Brooks,1958
1705,golden_globe,best_director,The Defiant Ones,Stanley Kramer,1958
1706,golden_globe,best_director,I Want to Live!,Robert Wise,1958
1707,golden_globe,best_director,Separate Tables,Delbert Mann,1958
1708,golden_globe,best_director,Anatomy of a Murder,Otto Preminger,1959
1709,golden_globe,best_director,The Diary of Anne Frank,George Stevens,1959
1710,golden_globe,best_director,The Nun's Story,Fred Zinnemann,1959
1711,golden_globe,best_director,On the Beach,Stanley Kramer,1959
1712,golden_globe,best_director,The Apartment,Billy Wilder,1960
1713,golden_globe,best_director,Elmer Gantry,Richard Brooks,1960
1714,golden_globe,best_director,Spartacus,Stanley Kubrick,1960
1715,golden_globe,best_director,The Sundowners,Fred Zinnemann,1960
1716,golden_globe,best_director,The Children's Hour,William Wyler,1961
1717,golden_globe,best_director,El Cid,Anthony Mann,1961
1718,golden_globe,best_director,The Guns of Navarone,J. Lee Thompson,1961
1719,golden_globe,best_director,West Side Story,Jerome Robbins,1961
1720,golden_globe,best_director,The Chapman Report,George Cukor,1962
1721,golden_globe,best_director,Days of Wine and Roses,Blake Edwards,1962
1722,golden_globe,best_director,Freud: The Secret Passion,John Huston,1962
1723,golden_globe,best_director,Gypsy,Mervyn LeRoy,1962
1724,golden_globe,best_director,Hemingway's Adventures of a Young Man,Martin Ritt,1962
1725,golden_globe,best_director,Lolita,Stanley Kubrick,1962
1726,golden_globe,best_director,The Manchurian Candidate,John Frankenheimer,1962
1727,golden_globe,best_director,The Music Man,Morton DaCosta,1962
1728,golden_globe,best_director,"My Son, the Hero (Los Hermanos Del Hierro)",Ismael Rodríguez,1962
1729,golden_globe,best_director,To Kill a Mockingbird,Robert Mulligan,1962
1730,golden_globe,best_director,The Cardinal,Otto Preminger,1963
1731,golden_globe,best_director,The Caretakers,Hall Bartlett,1963
1732,golden_globe,best_director,Cleopatra,Joseph L. Mankiewicz,1963
1733,golden_globe,best_director,The Haunting,Robert Wise,1963
1734,golden_globe,best_director,Hud,Martin Ritt,1963
1735,golden_globe,best_director,Tom Jones,Tony Richardson,1963
1736,golden_globe,best_director,The Ugly American,George Englund,1963
1737,golden_globe,best_director,Becket,Peter Glenville,1964
1738,golden_globe,best_director,The Night of the Iguana,John Huston,1964
1739,golden_globe,best_director,Seven Days in May,John Frankenheimer,1964
1740,golden_globe,best_director,Zorba the Greek,Michael Cacoyannis,1964
1741,golden_globe,best_director,The Collector,William Wyler,1965
1742,golden_globe,best_director,Darling,John Schlesinger,1965
1743,golden_globe,best_director,A Patch of Blue,Guy Green,1965
1744,golden_globe,best_director,The Sound of Music,Robert Wise,1965
1745,golden_globe,best_director,Alfie,Lewis Gilbert,1966
1746,golden_globe,best_director,A Man and a Woman,Claude Lelouch,1966
1747,golden_globe,best_director,The Sand Pebbles,Robert Wise,1966
1748,golden_globe,best_director,Who's Afraid of Virginia Woolf?,Mike Nichols,1966
1749,golden_globe,best_director,Bonnie and Clyde,Arthur Penn,1967
1750,golden_globe,best_director,The Fox,Mark Rydell,1967
1751,golden_globe,best_director,Guess Who's Coming to Dinner,Stanley Kramer,1967
1752,golden_globe,best_director,In the Heat of the Night,Norman Jewison,1967
1753,golden_globe,best_director,Funny Girl,William Wyler,1968
1754,golden_globe,best_director,The Lion in Winter,Anthony Harvey,1968
1755,golden_globe,best_director,Oliver!,Carol Reed,1968
1756,golden_globe,best_director,Romeo and Juliet,Franco Zeffirelli,1968
1757,golden_globe,best_director,"Hello, Dolly!",Gene Kelly,1969
1758,golden_globe,best_director,Midnight Cowboy,John Schlesinger,1969
1759,golden_globe,best_director,The Secret of Santa Vittoria,Stanley Kramer,1969
1760,golden_globe,best_director,"They Shoot Horses, Don't They?",Sydney Pollack,1969
1761,golden_globe,best_director,Five Easy Pieces,Bob Rafelson,1970
1762,golden_globe,best_director,M*A*S*H,Robert Altman,1970
1763,golden_globe,best_director,Patton,Franklin J. Schaffner,1970
1764,golden_globe,best_director,Women in Love,Ken Russell,1970
1765,golden_globe,best_director,A Clockwork Orange,Stanley Kubrick,1971
1766,golden_globe,best_director,Fiddler on the Roof,Norman Jewison,1971
1767,golden_globe,best_director,The Last Picture Show,Peter Bogdanovich,1971
1768,golden_globe,best_director,Summer of '42,Robert Mulligan,1971
1769,golden_globe,best_director,Avanti!,Billy Wilder,1972
1770,golden_globe,best_director,Cabaret,Bob Fosse,1972
1771,golden_globe,best_director,Deliverance,John Boorman,1972
1772,golden_globe,best_director,Frenzy,Alfred Hitchcock,1972
1773,golden_globe,best_director,American Graffiti,George Lucas,1973
1774,golden_globe,best_director,The Day of the Jackal,Fred Zinnemann,1973
1775,golden_globe,best_director,Last Tango in Paris,Bernardo Bertolucci,1973
1776,golden_globe,best_director,Paper Moon,Peter Bogdanovich,1973
1777,golden_globe,best_director,The Conversation,Francis Ford Coppola,1974
1778,golden_globe,best_director,,,1974
1779,golden_globe,best_director,Lenny,Bob Fosse,1974
1780,golden_globe,best_director,A Woman Under the Influence,John Cassavetes,1974
1781,golden_globe,best_director,Barry Lyndon,Stanley Kubrick,1975
1782,golden_globe,best_director,Dog Day Afternoon,Sidney Lumet,1975
1783,golden_globe,best_director,Jaws,Steven Spielberg,1975
1784,golden_globe,best_director,Nashville,Robert Altman,1975
